Hostname,IPv4
A10-CRE-MSA,10.10.102.7
A10-FIN-MPVT,10.10.101.18
A10-CRE-RTM,10.10.102.55
A10-ADM-MACM,10.10.102.32
A10-ADM-MMR,10.10.152.155
A10-SRG-NMM,10.10.102.11
A10-AER-RCD,10.10.102.6
A10-CRE-RDSC,10.10.101.16
A10-SCV-RAP,10.10.102.22
A10-SCV-SPMB,10.10.102.20
A10-PLA-SHM,10.10.102.37
A10-DMV-SVC,10.10.102.31
A10-SCV-SRG,10.10.102.56
A10-ADM-VEGO,10.10.101.17
A10-DIR-CGOR,10.10.111.9
A10-DIR-JAMS,10.10.152.140
A10-PLA-FGRG,10.10.111.10
C10-DIR-PRES,10.10.111.6
A10-PRN-TMVM,10.10.111.23
C10-CURSO-14,10.10.152.232
A10-CRE-WNP,10.10.111.8
A10-ADM-AKML-1,10.10.1.38
A10-ADM-AKML,10.10.1.22
C10-CONSULTAS,10.10.1.10
C10-EXT-DOC,10.10.22.12
A10-ADM-JCTC,10.10.1.16
A10-ADM-JAPZ,10.10.1.13
A10-ADM-LACA,10.10.1.44
C10-SEG-MANT,10.10.1.26
C10-MES-REP,10.10.1.40
A10-ADM-SPC,10.10.1.23
C10-ADM-RCP,10.10.1.41
C10-VIGILANCIA,10.10.1.34
C10-ADM-CSHF1,10.10.1.42
C10-ADM-CSHF2,10.10.1.43
C10-CON-THM,10.10.1.18
apt-app-pro-w01,10.192.0.193
pki-app-pro-w01,10.192.2.80
pki-app-pro-w02,10.192.2.74
ata-app-pro-w01,10.192.0.22
sic-app-pro-w02,10.192.0.53
sic-bdm-pro-w02,10.10.161.53
sic-app-des-w03,10.10.166.19
SIC-APP-PRU-W02,10.10.166.59
SHFEXCHG2K3,10.192.0.107
adc-dom-pro-w03,10.192.0.209
adc-dom-pro-w04,10.192.0.210
adc-dom-pro-w05,10.192.0.212
adc-dom-des-w01,10.10.132.43
SHFDC1,10.192.0.25
shfdc2,10.192.0.15
shfdc3,10.192.0.60
sic-app-pro-w01,10.192.2.44
SIS-SQL-PRU-W04,10.10.132.82
sic-app-pru-w01,10.10.166.49
chk-app-pro-w01,10.10.132.85
SHFCOG,10.192.0.144
shffnprod2,10.192.0.115
shffnprod1,10.192.0.114
SHFFNTEST1,10.192.0.113
fid-app-pro-w01,10.192.0.254
mdx-bdm-pro-w01,10.10.161.123
mdx-iis-pro-w01,10.192.2.38
mdx-rds-pro-w01,10.192.2.37
mdx-ser-pro-w01,10.10.161.137
mdx-app-pro-w01,10.192.2.36
mdx-app-pro-w02,10.192.2.52
sni-app-pro-w01,10.192.3.33
mdx-app-des-w02,10.10.166.11
mdx-app-pru-w01,10.10.166.26
mdx-app-pru-w02,10.10.166.29
mdx-bdm-des-w02,10.10.166.62
