Hostname,IPv4
Sev-app-des-w03,10.10.132.231
sev-app-pru-w02,10.10.132.205
sga-app-pru-w02,10.10.132.204
shp-wfe-pro-w03,192.168.103.46
sic-app-des-w02,10.10.166.66
sis-sql-pru-w02,10.10.132.203
sis-sql-pru-w05,10.10.132.200
zap-pbi-des-w01,10.10.132.56
zap-pbi-pro-w01,10.192.3.78
zap-pbi-pro-w02,10.192.3.79
zap-pbi-pru-w01,10.10.132.67
zap-sql-des-w01,10.10.132.57
zap-sql-pro-w01,10.10.161.155
zap-sql-pro-w02,10.10.161.132
zap-sql-pru-w01,10.10.132.66
FID-BDM-PRO-W02,10.10.161.139
HVS-APP-PRO-W01,10.192.2.123
HVS-BDM-PRO-W02,10.10.161.206
PFI-APP-PRU-W03,10.10.186.2
WRE-BDM-DES-W01,10.10.166.157
wre-app-pro-w02 ,10.192.3.100
wre-bdm-pro-w01 ,10.10.161.234
wre-bdm-pro-w02 ,10.10.161.235
INF-APP-PRU-W01,10.10.132.122
INF-WFE-PRU-W01,10.10.132.123
INF-BDM-PRU-W01,10.10.132.121
NCM-APP-PRO-l02,10.10.165.217
HVS-BDM-PRO-W03,10.10.161.215
HVS-APP-PRO-W02,10.192.3.110
SIC-BDM-PRO-W03 ,10.10.161.214
ABC-BDM-PRO-W02,10.10.161.212
avi-app-pro-l01,10.192.0.246
bi1-shp-des-w01,10.10.132.124
MON-TEL-PRO-L01,10.10.172.6
WRE-BDM-PRU-W04,10.10.132.77
red-app-pro-l01,10.10.165.216
pfi-cfe-pru-w01,10.10.186.10
pfi-cfe-pru-w02,10.10.186.11
pfi-app-pro-w02,10.10.191.3
pfi-bdm-pro-w02,10.10.191.2
pfi-cfe-pro-w01,10.10.191.4
pfi-cfe-pro-w02,10.10.191.5
bi1-app-pro-w01,10.192.2.145
bi1-wfe-pro-w01,10.192.2.146
mcc-app-pru-w01,10.10.132.145
MCP-APP-PRU-W01,10.10.132.233
RSK-BDM-PRU-W01,10.10.132.201
sis-sql-pro-w08,10.10.161.79
MDX-IIS-DES-W01,10.10.132.217
SNI-BDM-DES-W01,10.10.132.218
MDX-APP-DES-W03,10.10.132.214
MDX-BDM-DES-W04,10.10.132.216
MCP-APP-PRO-W01,10.192.2.238
mdx-app-pru-w03,10.10.166.92
mdx-bdm-pru-w04,10.10.166.89
mdx-iis-pru-w01,10.10.166.91
mdx-sni-pru-w01,10.10.166.90
MON-BDM-PRO-W02,10.10.161.207
PKI-APP-PRO-W03,10.192.3.111
PKI-APP-PRO-W04,10.192.3.112
PKI-IIS-PRO-W01,10.192.3.113
sma-bdm-pru-w03,10.10.166.102
DSI-APP-PRU-W01,10.10.132.30
WSO-2AP-DES-W01,10.10.132.101
WSO-2BD-DES-W01,10.10.132.100
RSK-BDM-PRU-W02,10.10.132.26
RSK-APP-PRU-l01,10.10.132.201
DRF-BDM-DES-W01,10.10.132.68
pfi-bdm-pru-w01,10.10.132.95
SIS-HER-DBA-W02,10.10.132.41
sco-gtw-pro-w01,192.168.103.8
sco-rms-pro-w01,10.192.0.31
sco-rms-pro-w03,10.192.0.32
sco-bdm-pro-w02,10.10.161.12
FTP-IMO-PRO-W01,10.192.2.71
FTP-BST-PRO-W01,10.192.2.70
rsk-bdm-pro-w02,10.10.161.9
pbi-gtw-pro-w01,10.192.3.70
SHP-APP-PRO-W05,10.192.2.20
SHP-APP-PRO-W06,10.192.2.24
SHP-WFE-PRO-W05,10.192.2.23
SHP-WFE-PRO-W06,192.168.103.10
SHP-BDM-PRO-W04,10.10.161.15
SGC-RPS-PRO-W01,10.192.3.61
SGC-CPM-PRO-W01,10.192.3.62
SGC-PSM-PRO-W01,10.192.3.63
SGC-PSM-PRO-L01,10.192.3.115
SGC-PTA-PRO-L02,10.192.3.116
SHP-BDM-PRU-W01 ,10.10.166.12
?SHP-APP-PRU-W01 ,10.10.132.17
SHP-APP-PRU-W02 ,10.10.132.19
SHP-WFE-PRU-W01,10.10.132.23
SHP-WFE-PRU-W02,10.10.132.24
lif-app-des-s01,10.10.132.21
SSH@CORESW,10.10.10.126
SSH@SWPBMA,10.10.10.10
SSH@SWP1MA,10.10.10.11
SSH@SWP2MA,10.10.10.12
SSH@SWP3MA,10.10.10.13
SSH@SWP4MA,10.10.10.14
SSH@SWP5MA,10.10.10.15
SSH@SWP6MA,10.10.10.16
SSH@SWP7MA,10.10.10.17
SSH@SWP8MA,10.10.10.18
SSH@SWP9MA,10.10.10.19
SSH@SWP10MA,10.10.10.20
SSH@SWP11MA,10.10.10.21
SSH@SW12MA,10.10.10.22
OS6560_1G_Piso_2,10.10.10.76
ALCATEL_Piso_10,10.10.10.78
OS6560_1G_Tesoreria,10.10.10.79
ALCATEL_Piso_9,10.10.10.80
ALCATEL_Planta_Baja,10.10.10.81
ALCATEL_PISO_6,10.10.10.82
ALCATEL_Piso_7,10.10.10.83
ALCATEL_Piso_1,10.10.10.84
SHFFWLLFG500EID01INT01,10.10.143.6
SHFFWLLFG1500DID01LAN01,10.10.143.3
SHF,10.10.10.66
Piso 9 Adicional,10.10.10.30
AP15-7,10.10.10.31
RuckusAP,10.10.10.32
AP10-4,10.10.10.33
AP19-9,10.10.10.34
AP3-1,10.10.10.35
AP5-2,10.10.10.36
Piso7East,10.10.10.37
AP20-9,10.10.10.38
RuckusAP,10.10.10.39
RuckusAP,10.10.10.40
RuckusAP,10.10.10.41
RuckusAP,10.10.10.42
RuckusAP,10.10.10.43
AP Sala Piso 12,10.10.10.45
AP21-10,10.10.10.70
AP27-5,10.10.10.71
AP18-8,10.10.10.73
Piso6East,10.10.10.74
Piso1East,10.10.10.76
RuckusAP,10.10.10.77
P7 Oficina DTI,10.10.10.79
RuckusAP,10.10.10.85
AP9-4,10.10.10.86
AP4-1,10.10.10.87
OF DGA P1,10.10.10.88
RuckusAP,10.10.10.89
Piso2 East,10.10.10.90
RuckusAP,10.10.10.91
Piso6West,10.10.10.100
Piso9West,10.10.10.101
AP22-10,10.10.10.102
RuckusAP,10.10.10.103
AP25-8,10.10.10.104
RuckusAP,10.10.10.105
RuckusAP,10.10.10.106
AP13-6,10.10.10.107
RuckusAP,10.10.10.108
AP17-8,10.10.10.109
AP6-2,10.10.10.110
Piso1West,10.10.10.111
AP14-6,10.10.10.112
AP12-2,10.10.10.113
AP28-11,10.10.10.114
AP24-11,10.10.10.115
AP23-11,10.10.10.116
AP7-3,10.10.10.117
AP8-3,10.10.10.118
RuckusAP,10.10.10.120
RuckusAP,10.10.10.121
